152.69.199.70:8443#🇯🇵JP_1|3.0M/s  
162.19.253.47:8443#🇩🇪DE_23|2.6M/s  
128.199.34.202:8443#🇳🇱NL_6|2.4M/s  
31.220.42.149:8443#🇳🇱NL_5|2.3M/s  
45.144.48.29:8443#🇺🇸US_5|2.3M/s  
141.94.205.22:8443#🇫🇷FR_1|2.2M/s  
216.173.71.220:8443#🇱🇹LT_1|2.2M/s  
51.195.100.92:8443#🇩🇪DE_10|2.2M/s  
31.56.206.159:8443#🇸🇪SE_30|2.2M/s  
141.94.220.57:8443#🇫🇷FR_16|2.2M/s  
54.37.73.185:8443#🇩🇪DE_9|2.1M/s  
46.8.228.182:8443#🇸🇪SE_3|2.1M/s  
92.42.102.73:8443#🇸🇪SE_4|2.1M/s  
77.73.71.180:8443#🇱🇹LT_8|2.1M/s  
141.94.221.119:8443#🇫🇷FR_13|2.1M/s  
162.19.254.49:8443#🇩🇪DE_18|2.0M/s  
141.94.221.2:8443#🇫🇷FR_19|2.0M/s  
51.38.49.23:8443#🇫🇷FR_10|2.0M/s  
65.109.12.58:8443#🇺🇸US_3|2.0M/s  
45.140.146.80:8443#🇲🇩MD_1|2.0M/s  
45.138.73.136:8443#🇸🇪SE_28|1.9M/s  
46.8.64.82:8443#🇸🇪SE_17|1.9M/s  
91.197.1.93:8443#🇱🇹LT_6|1.9M/s  
54.37.64.126:8443#🇩🇪DE_2|1.9M/s  
141.94.222.46:8443#🇫🇷FR_17|1.8M/s  
51.38.227.72:8443#🇫🇷FR_21|1.8M/s  
51.83.45.59:8443#🇫🇷FR_25|1.8M/s  
51.38.50.211:8443#🇫🇷FR_28|1.8M/s  
94.23.164.46:8443#🇫🇷FR_37|1.8M/s  
31.56.113.127:8443#🇸🇪SE_14|1.8M/s  
46.8.70.161:8443#🇸🇪SE_21|1.8M/s  
64.225.2.218:8443#🇺🇸US_8|1.8M/s  
193.124.190.40:8443#🇸🇪SE_29|1.8M/s  
31.57.107.115:8443#🇸🇪SE_10|1.7M/s  
193.164.155.27:8443#🇸🇪SE_13|1.7M/s  
141.94.205.129:8443#🇫🇷FR_36|1.7M/s  
35.217.24.30:8443#🇸🇪SE_27|1.6M/s  
141.94.68.157:8443#🇫🇷FR_11|1.6M/s  
141.94.220.168:8443#🇫🇷FR_33|1.6M/s  
51.210.150.65:8443#🇫🇷FR_2|1.5M/s  
138.68.141.220:8443#🇬🇧GB_1|1.5M/s  
141.94.204.212:8443#🇫🇷FR_18|1.5M/s  
51.178.81.223:8443#🇩🇪DE_15|1.4M/s  
162.19.252.123:8443#🇩🇪DE_25|1.4M/s  
31.57.106.157:8443#🇸🇪SE_8|1.4M/s  
216.173.69.115:8443#🇱🇹LT_3|1.4M/s  
77.81.234.27:8443#🇮🇹IT_1|1.4M/s  
185.211.170.101:8443#🇷🇺RU_7|1.4M/s  
147.45.164.133:8443#🇷🇺RU_3|1.4M/s  
141.94.206.137:8443#🇫🇷FR_14|1.4M/s  
51.195.119.65:8443#🇩🇪DE_26|1.4M/s  
51.91.254.50:8443#🇫🇷FR_39|1.3M/s  
46.8.228.3:8443#🇸🇪SE_11|1.3M/s  
185.252.144.185:8443#🇸🇪SE_24|1.3M/s  
2.56.91.89:8443#🇭🇰HK_1|1.3M/s  
51.91.251.31:8443#🇫🇷FR_32|1.3M/s  
188.215.229.74:8443#🇳🇱NL_2|1.2M/s  
162.19.226.175:8443#🇩🇪DE_1|1.2M/s  
23.88.112.241:8443#🇩🇪DE_13|1.2M/s  
128.199.53.90:8443#🇳🇱NL_7|1.2M/s  
91.107.233.151:8443#🇩🇪DE_12|1.2M/s  
92.222.22.40:8443#🇩🇪DE_11|1.2M/s  
51.195.119.76:8443#🇩🇪DE_21|1.2M/s  
85.209.195.61:8443#🇩🇪DE_32|1.2M/s  
167.99.140.246:8443#🇩🇪DE_7|1.1M/s  
51.195.118.15:8443#🇩🇪DE_22|1.1M/s  
51.195.47.225:8443#🇩🇪DE_27|1.1M/s  
193.164.155.8:8443#🇸🇪SE_6|1.1M/s  
141.94.221.240:8443#🇫🇷FR_26|1.1M/s  
94.23.153.167:8443#🇫🇷FR_34|1.1M/s  
141.94.222.105:8443#🇫🇷FR_35|1.1M/s  
45.144.48.158:8443#🇵🇱PL_1|1.0M/s  
45.144.48.33:8443#🇵🇱PL_2|1.0M/s  
185.195.69.200:8443#🇨🇭CH_2|1.0M/s  
95.163.240.24:8443#🇺🇸US_7|1.0M/s  
51.178.39.34:8443#🇫🇷FR_24|1.0M/s  
188.165.54.172:8443#🇫🇷FR_27|1.0M/s  
45.91.200.130:8443#🇳🇱NL_12|1.0M/s  
103.90.75.41:8443#🇳🇱NL_13|1.0M/s  
185.114.72.92:8443#🇪🇸ES_1|1.0M/s  
51.89.1.231:8443#🇩🇪DE_16|1.0M/s  
141.94.207.218:8443#🇫🇷FR_15|1.01M/s  
46.8.228.74:8443#🇸🇪SE_9|1.02M/s  
91.108.189.149:8443#🇸🇪SE_2|1.01M/s  
31.57.105.157:8443#🇸🇪SE_5|1.00M/s  
46.8.70.178:8443#🇸🇪SE_15|1.00M/s  
89.208.97.224:8443#🇩🇪DE_36|0.99M/s  
5.34.211.29:8443#🇱🇹LT_7|0.99M/s  
138.197.152.31:8443#🇨🇦CA_1|0.99M/s  
95.217.195.186:8443#🇺🇸US_1|0.98M/s  
63.32.194.15:8443#🇮🇪IE_1|0.98M/s  
65.109.161.254:8443#🇫🇮FI_1|0.97M/s  
195.135.252.27:8443#🇱🇹LT_5|0.94M/s  
178.128.143.218:8443#🇳🇱NL_4|0.93M/s  
132.226.163.224:8443#🇧🇷BR_1|0.92M/s  
54.37.64.148:8443#🇩🇪DE_14|0.92M/s  
141.94.221.230:8443#🇫🇷FR_9|0.92M/s  
46.8.238.49:8443#🇸🇪SE_7|0.90M/s  
185.105.118.126:8443#🇸🇪SE_26|0.90M/s  
